plot_id,crop,soil_texture,soil_N,soil_P,soil_K,organic_C,pH,ec,season_rain,gdd,seed_rate,fert_type,fert_dose,applied_N,applied_P,applied_K,yield_kg_ha,price_per_ton,fert_cost_per_ha
0,wheat,clay,324.83570765056163,33.893885590630525,245.9075415240277,1.1046059712816052,6.382923312638332,0.37658630430508194,507.92128155073914,1553.4869458305818,100,Urea,82,37.72,0.0,0.0,1100.2332665110082,18000,24.599999999999998
1,maize,clay,301.11109133059915,31.57765669117324,198.7273035912709,0.77650489964573,6.611039450782371,0.3232023498056923,364.24646023866546,1793.0695631544802,80,Urea,95,43.7,0.0,0.0,1490.3443835464677,16000,28.5
2,wheat,sandy,169.98730749470442,27.57951856837311,161.6413600504873,0.6728880519450722,5.989223902662201,0.38382446136024795,296.6351196157513,1398.8944275359747,100,NPK_20_20_0,81,16.2,16.2,0.0,528.057939985155,18000,32.4
3,rice,sandy,177.66292645134268,32.19393306284165,162.9199918911319,0.5213166118254593,5.410832876588145,0.2956103591765165,617.2693706525512,1464.8397535105464,120,NPK_20_20_0,96,19.200000000000003,19.200000000000003,0.0,1319.202267792281,20000,38.400000000000006
4,wheat,clay,226.07390048162864,29.24124633284233,201.5744491616085,1.0114244452437833,6.6718091447842305,0.22369598446372663,382.40839693947953,1322.9835439167366,80,NPK_20_20_0,92,18.400000000000002,18.400000000000002,0.0,694.9864388867138,18000,36.800000000000004
5,wheat,loam,171.84666027067436,23.634952062903896,237.22337603084407,0.9355534819346684,6.849220129605481,0.41736020636648047,416.2284513619062,1448.2244325174258,80,Urea,76,34.96,0.0,0.0,799.3130592437078,18000,22.8
6,wheat,sandy,191.11339393646725,16.716933530509596,197.18865378802803,0.6203584121088643,6.917397709615214,0.4296561384328971,246.2170123484518,1384.8392509943628,100,Urea,104,47.84,0.0,0.0,459.70386078264227,18000,31.2
7,rice,clay,261.0149059670061,28.248829117248594,213.97864566960868,0.6068884656210051,6.575244539055297,0.38865787486536063,863.3528220612124,1194.9818222378271,100,Urea,93,42.78,0.0,0.0,1326.545616974341,20000,27.9
8,wheat,clay,229.0701768492221,36.52269587972134,225.43015317905946,0.9216179324001923,6.852490655666361,0.43609233775911355,203.3032114820474,1578.5258943012325,80,NPK_20_20_0,96,19.200000000000003,19.200000000000003,0.0,542.6224248187294,18000,38.400000000000006
9,rice,clay,368.59310667748883,36.40442635163866,207.62845814221689,0.9346251005547951,6.371684908653723,0.3632174275867239,727.3733620139556,1341.609465834876,80,NPK_20_20_0,62,12.4,12.4,0.0,1609.1680560309717,20000,24.8
10,wheat,loam,184.50246563937628,53.54930733185027,156.14936818874577,0.9829768643852025,6.166969689884786,0.3486212508491754,380.13228009496345,1108.2966158026484,80,DAP,97,17.46,44.620000000000005,0.0,628.3805649213086,18000,43.65
11,maize,clay,340.89367561082827,26.5631642442653,189.66691517927032,0.8914831297438286,6.467810974599517,0.43449023350447286,341.9912664647511,1751.7239736711574,80,Urea,80,36.800000000000004,0.0,0.0,1378.4329784488737,16000,24.0
12,rice,sandy,216.99104820933218,19.940958800443415,180.69187354825615,0.5700414845011283,6.112331947021528,0.4773140855889249,519.8172156650306,1676.8031437865357,100,DAP,102,18.36,46.92,0.0,1738.480264088371,20000,45.9
13,maize,loam,200.4731837434656,25.469618163177824,203.98605460350564,0.6993048691767602,5.724668284466934,0.40685629748060276,243.76962862738952,1894.7184861270364,80,Urea,112,51.52,0.0,0.0,778.2815011795659,16000,33.6
14,maize,sandy,224.09895695014472,27.411650868962578,116.49674432947543,0.9354372131164199,7.436159558660361,0.4396373940064442,287.43837047670684,1695.5077040934834,80,Urea,77,35.42,0.0,0.0,1017.7846356804948,16000,23.099999999999998
15,maize,sandy,250.02428038810524,21.219366898074075,125.94411017713094,0.6306771286270407,6.908076361440686,0.4471707291526979,321.45106990136696,2013.05849376919,80,Urea,89,40.940000000000005,0.0,0.0,1188.7429335264458,16000,26.7
16,maize,loam,264.65362366493406,24.285188655789057,274.63098044579027,0.8947665841823575,5.904348251398676,0.465655360863383,252.53183297726787,1957.4169207484904,80,NPK_20_20_0,91,18.2,18.2,0.0,1059.8822266191405,16000,36.4
17,wheat,loam,293.3614749488222,37.66731068970639,216.72474087822346,0.42269439084287236,7.63667257900874,0.41469746504572164,403.96092015836655,1100.3408725256138,100,NPK_20_20_0,97,19.400000000000002,19.400000000000002,0.0,669.2959066575079,18000,38.800000000000004
18,rice,loam,310.4690985343317,34.30368002953597,309.3768863624697,0.8187530860303894,5.796797366409225,0.3965470343905192,503.69843739338734,1595.4360001626146,120,Urea,82,37.72,0.0,0.0,1568.1726065293092,20000,24.599999999999998
19,wheat,loam,280.34878547843124,27.20879053781799,224.24517452396339,0.4111540812500801,6.668199381893126,0.40506298109151667,328.2543023095976,1304.9485303199049,120,NPK_20_20_0,84,16.8,16.8,0.0,556.507485665152,18000,33.6
20,rice,loam,182.92982510269178,17.026443032452136,154.091201087,1.0779205656293183,6.072379740560095,0.29729382410644034,688.283766050939,1310.1391227808435,80,NPK_20_20_0,83,16.6,16.6,0.0,1278.426388583814,20000,33.2
21,rice,loam,295.25609799782796,25.16876502012377,212.1779647948341,0.8514414981960214,6.511965907232918,0.4871913988812393,743.7356328333527,1401.4612745481265,80,Urea,82,37.72,0.0,0.0,1470.649003377188,20000,24.599999999999998
22,wheat,clay,303.41756255519147,31.724729355427538,295.58190624506335,0.6648390531557207,6.043293731338792,0.3544966826012434,308.72383868098933,1519.1287303608642,100,Urea,76,34.96,0.0,0.0,808.7097316614487,18000,22.8
23,wheat,clay,303.21400095477316,26.378041776565553,191.38785162960127,0.9359195497869353,6.134816684141431,0.4216458589581975,354.55718399038136,1269.6799304788365,120,DAP,72,12.959999999999999,33.120000000000005,0.0,712.168982855297,18000,32.4
24,wheat,sandy,134.60428501653126,4.075203603381089,115.69804457355598,0.9680010753244859,7.3906455385131835,0.33225843322852433,200.0,1331.3741871791804,100,Urea,118,54.28,0.0,0.0,271.46173728085284,18000,35.4
25,maize,loam,268.86481327302045,43.21080789183592,146.92672935456412,1.1687431595503692,6.134629298385173,0.272008026673687,326.2608038793331,2174.401136094461,100,DAP,108,19.439999999999998,49.68,0.0,1646.030684614249,16000,48.6
26,maize,clay,275.9375933088247,18.249647967719497,203.19810141489936,0.8278408221913632,6.500906805597338,0.4755935281791653,543.3542629429992,1882.7749674501615,120,Urea,114,52.440000000000005,0.0,0.0,1954.6141923150744,16000,34.199999999999996
27,maize,loam,287.4552838482162,44.471654632161304,209.079372048774,0.7458075475664523,6.723144674000959,0.5136242317119263,400.1426757026082,2012.1277157642821,120,Urea,99,45.54,0.0,0.0,1709.8436879407677,16000,29.7
28,maize,clay,289.5938874821362,31.055992522729337,196.42540972223154,0.969920419404205,6.678507742982523,0.33070904047393457,439.95998754332504,1861.4599041753218,80,NPK_20_20_0,85,17.0,17.0,0.0,1970.096870967294,16000,34.0
29,rice,clay,327.5868505232537,29.31897633658013,148.49313552272872,0.5558859791436291,6.165398635909393,0.5161937317746775,755.2859775839325,1312.0964249051447,80,Urea,71,32.660000000000004,0.0,0.0,1315.964467235431,20000,21.3
30,rice,clay,283.70134295092555,61.03188100870085,158.20004205612008,0.6314529807026156,6.696020944866298,0.3875474752406316,579.9795104268931,1804.9441996002015,100,Urea,73,33.58,0.0,0.0,2271.5129695573346,20000,21.9
31,rice,clay,249.6991309250149,25.286491097698143,266.32443494000273,0.9583325387925872,6.812059908526077,0.462834550926428,598.7753227153086,1220.5491257028336,120,Urea,94,43.24,0.0,0.0,1339.1606139465746,20000,28.2
32,maize,sandy,244.44921471385766,23.968513865807,152.22288627775868,0.8120465842978185,5.780269201683135,0.36165124738052384,438.62019661293755,1753.259364137199,100,DAP,117,21.06,53.82,0.0,1695.9075276319322,16000,52.65
33,rice,loam,216.78862783477888,40.88089092998537,118.51696260111444,1.1140064561085345,6.348837878961846,0.3995437171009704,531.7657398879846,1390.3609028928374,80,NPK_20_20_0,102,20.400000000000002,20.400000000000002,0.0,1306.9216603560956,20000,40.800000000000004
34,wheat,clay,244.78891057264335,41.092574730380775,198.0296727383572,0.3081613275842903,6.528706473878185,0.3155892267591254,485.88166333327285,1342.730696766816,80,NPK_20_20_0,91,18.2,18.2,0.0,997.5142430561489,18000,36.4
35,wheat,loam,273.6813693863782,30.43480462350857,291.0304519026881,0.8812453370099858,6.284028899195814,0.585996700648693,470.04115484133985,1763.217558048763,120,Urea,120,55.2,0.0,0.0,1100.6821230173975,18000,36.0
36,maize,sandy,158.0139078909612,15.204858836447823,65.04417102760772,0.6948489956638478,6.120433669223151,0.4150393786476208,384.17559757771596,2175.234167843177,80,DAP,136,24.48,62.56,0.0,1150.064610715054,16000,61.2
37,wheat,loam,217.68502503496256,26.771560345224714,267.38739858422485,0.45393693791516443,6.571025045958784,0.5037158464944625,319.02568965173947,1166.036593565798,100,Urea,98,45.080000000000005,0.0,0.0,484.3002390405651,18000,29.4
38,rice,clay,317.04610992794767,34.30869194534709,231.0254063154963,0.8557446069941322,5.273867699342134,0.3098706181335332,589.1371335911144,1388.9030083404652,100,DAP,87,15.66,40.02,0.0,1809.4270733592205,20000,39.15
39,rice,sandy,215.97687894343574,21.546224494795087,213.84571775606534,0.9202107888423073,6.177862409916026,0.5355970385308192,526.0381230570648,1270.150544333258,80,DAP,95,17.099999999999998,43.7,0.0,1200.7981334796953,20000,42.75
40,rice,loam,285.5807439044445,21.002863265297044,138.6354331705751,1.0555353643797019,6.666157005989795,0.32515134634434467,755.1151975522523,1423.1349268585718,120,DAP,99,17.82,45.54,0.0,1587.439757662683,20000,44.550000000000004
41,maize,sandy,220.68563999760372,30.73670803444732,45.64847961262498,0.6689829432351844,6.796871087920606,0.5212815073682686,370.31135479465064,1809.914545859881,100,Urea,77,35.42,0.0,0.0,1393.236090289487,16000,23.099999999999998
42,rice,sandy,244.30317801230765,18.903377431665177,158.0053767669369,0.365826834373918,6.256642751978625,0.5334445640864136,698.1547376730081,1466.1401114127864,80,NPK_20_20_0,87,17.400000000000002,17.400000000000002,0.0,1608.4932709254667,20000,34.800000000000004
43,maize,clay,323.036853378196,39.6888448377872,159.07356518112957,1.0411830414485173,6.687794033995822,0.26284106202768764,398.50941116132753,1387.4948652176502,120,NPK_20_20_0,96,19.200000000000003,19.200000000000003,0.0,1284.8773237844077,16000,38.400000000000006
44,maize,clay,274.30665413316535,26.52629182488839,217.49283610907312,0.9910284641002477,6.0071369768322285,0.45040465155178444,296.9742381627559,1641.4254335475312,80,NPK_20_20_0,97,19.400000000000002,19.400000000000002,0.0,1160.5678438295336,16000,38.800000000000004
